original_path	original_status	bytes	sha256	classification	collaborator_destination	disposition	reason
.DS_Store	UNTRACKED	10244	4f97e5b5e9646e6da02b5eb93891f0a337d4b90f9bb80b342062d7b07cfac469	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/.DS_Store	UNTRACKED	6148	8e3840e28e34d5cefd9148d3727e2a2b6457cf0dc76ba79e4ba2e9019603c42f	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/__init__.cpython-312.pyc	UNTRACKED	192	4b83cf2d1f5eb4f8c62a60ed584c45c8e3a2fec78f0caed5e7deb41da6f48603	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/cached_accumulated_objective.cpython-312.pyc	UNTRACKED	29635	f50941dca2cb846d81cb433577203e08db7d2d68304f75005111de2459ac9de2	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/diagnostics.cpython-312.pyc	UNTRACKED	10943	214d07899d801da31f0b0f156b61d6c441b3b8625127af9c195f647f66f04cbf	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/dissipation.cpython-312.pyc	UNTRACKED	5510	d09e325741dc1068f6de74f4f89615d5ddbec09fb645da4bbb86cee9053032c9	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/dry_lie_hvp.cpython-312.pyc	UNTRACKED	77994	dfc1171dfafe1d2bf02614c066b9798230f4ed467b0213032fd7746b369c5a61	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/dynamics.cpython-312.pyc	UNTRACKED	20825	0263b04c6a1af707255032510ae5c5f7ef334fe9fe0d2c8e57175fda984b0ba1	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/hamiltonians.cpython-312.pyc	UNTRACKED	7939	4107f71d598d1170318ce600d92e087f367994f8225d71655164a429fc1b50e6	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/hidden_c0.cpython-312.pyc	UNTRACKED	68586	26081655565375369d941d8a9387a39a1d52d0206d8e8805134c753b1335fa89	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
