original_path	classification	collaborator_destination	disposition	reason	source_sha256
scripts/build_track1_disposition_manifest.py	KEEP_PROVENANCE	archive/track1-forensic-tools/build_track1_disposition_manifest.py	ARCHIVED	one-time first-pass manifest generator; frozen output remains authoritative	69f31416db5589854bfe9fefec587135f7fa60dee3d90fc3102a5408d65cf1da
firedrake_hvp_prototype/__init__.py	ARCHIVE_HISTORICAL	archive/development-history/firedrake_hvp_prototype/__init__.py	ARCHIVED	isolated precursor superseded by production derivative implementation and tests	674609260cf3a1739e74b13055273f1ba4db3db8f4568c79012d6864b75d577c
firedrake_hvp_prototype/core.py	ARCHIVE_HISTORICAL	archive/development-history/firedrake_hvp_prototype/core.py	ARCHIVED	isolated precursor superseded by production derivative implementation and tests	caa16c4e8427331bc2ba80a866c2ce2c08bbeb83603744614b6eb8537ba01735
tests/test_firedrake_hvp_prototype.py	ARCHIVE_HISTORICAL	archive/development-history/firedrake_hvp_prototype/test_firedrake_hvp_prototype.py	ARCHIVED	tests only the isolated precursor, not the deployed DIMSWE graph	ecb1d58b54c3dfa74b43d38ac7a3de7a885bb2d81a60e124f59a2c54329bf29f
docs/FIREDRAKE_HVP_PROTOTYPE.md	ARCHIVE_HISTORICAL	archive/development-history/firedrake_hvp_prototype/README.md	ARCHIVED	development design record for the isolated precursor	ee5d28b37cbd26775b5d5947e0a71213439063c99fdb96da447c02e63f36e72a
dimswe/test2a_residual_diagnostic.py	ARCHIVE_HISTORICAL	archive/development-history/test2a_residual_structure/test2a_residual_diagnostic.py	ARCHIVED	one-off read-only diagnosis of a frozen endpoint; no canonical caller	5b524c36f9956387916fa8334e60246c8930be8c999507892831218795bdcb4e
tests/test_test2a_residual_diagnostic.py	ARCHIVE_HISTORICAL	archive/development-history/test2a_residual_structure/test_test2a_residual_diagnostic.py	ARCHIVED	tests only the closed one-off diagnostic	f9b372c1ac864d9b5d95ced4292654bbed71541c4d6c20434e48a1c733b95d26
docs/TEST2A_RESIDUAL_STRUCTURE.md	ARCHIVE_HISTORICAL	archive/development-history/test2a_residual_structure/README.md	ARCHIVED	frozen historical conclusion retained outside the principal documentation surface	75498e124ab6bbd2d9aa1cbd78320a3e31f88de825232a5769aa90d55529ff47
scripts/run_test2b_rain_learning_bplus.sh	ARCHIVE_HISTORICAL	archive/development-history/test2b_constrained_rain_variants/run_test2b_rain_learning_bplus.sh	ARCHIVED	unexecuted launcher for PREPARED_NOT_RUN B+; not a canonical reproduction entry point	d0a7e638b9da02ef0210828134f2ceca6f2133b8ae009511a75c456841542fb3
scripts/run_test2b_rain_learning_btp_btpl_m1.sh	ARCHIVE_HISTORICAL	archive/development-history/test2b_constrained_rain_variants/run_test2b_rain_learning_btp_btpl_m1.sh	ARCHIVED	launcher for provenance-uncertain M1-only variants without final accepted synthesis	7bd5e13162c010cd5035853465e39fa796ebe126f6b30299eac4ef6987c03946
docs/TEST2B_REPRESENTATION_BTP_BTPL_M1_PREPARATION.md	ARCHIVE_HISTORICAL	archive/development-history/test2b_constrained_rain_variants/BTP_BTPL_M1_PREPARATION.md	ARCHIVED	preparation record for incomplete constrained-rain variants	578c452408c00efd10aadaed3f6ee0f2723ce90544d4106023d067f0fc347123
docs/TEST2B_REPRESENTATION_A_M1_M2X_INTERIM_ANALYSIS.md	ARCHIVE_HISTORICAL	archive/development-history/test2b_representation_a_interim/README.md	ARCHIVED	explicitly superseded by final six-fit Representation A synthesis	8a41be1bc2ba72d204871af741b43a07b1232fdc07e2661711eadfeb2dac0484
