physical_case,representation,model_label,saved_checkpoint_count,direct_X_training_point_count,direct_X_training_availability,direct_X_heldout_point_count,direct_X_heldout_availability,direct_Y_training_point_count,direct_Y_training_availability,direct_Y_heldout_point_count,direct_Y_heldout_availability,fitted_objective_point_count,fitted_objective_history_status,history_kinds
Test 2B,A,M1-X,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,FIXED_ARRAY_RECONSTRUCTED,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION
Test 2B,A,M1-Y,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,FIXED_ARRAY_RECONSTRUCTED,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION
Test 2B,A,M2-X-independent,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,10,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,A,warm M2-X,9,9,CHECKPOINT_HISTORY,9,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,9,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,A,H1,9,9,CHECKPOINT_HISTORY,9,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,9,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,A,H2,5,5,CHECKPOINT_HISTORY,5,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,2,ENDPOINTS_ONLY_RECURSIVE_HISTORY_DEFERRED,EXISTING DIAGNOSTIC INITIAL ENDPOINT; RECORDED TRAINING FINAL ENDPOINT
Test 2B,A,H5,5,5,CHECKPOINT_HISTORY,5,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,2,ENDPOINTS_ONLY_RECURSIVE_HISTORY_DEFERRED,EXISTING DIAGNOSTIC INITIAL ENDPOINT; RECORDED TRAINING FINAL ENDPOINT
Test 2B,B,M1-X,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,FIXED_ARRAY_RECONSTRUCTED,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION
Test 2B,B,M1-Y,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,FIXED_ARRAY_RECONSTRUCTED,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION
Test 2B,B,M2-X-independent,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,10,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,B,warm M2-X,9,9,CHECKPOINT_HISTORY,9,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,9,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,B,H1,9,9,CHECKPOINT_HISTORY,9,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,9,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,B,H2,5,5,CHECKPOINT_HISTORY,5,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,2,ENDPOINTS_ONLY_RECURSIVE_HISTORY_DEFERRED,EXISTING DIAGNOSTIC INITIAL ENDPOINT; RECORDED TRAINING FINAL ENDPOINT
Test 2B,B,H5,5,5,CHECKPOINT_HISTORY,5,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,2,ENDPOINTS_ONLY_RECURSIVE_HISTORY_DEFERRED,EXISTING DIAGNOSTIC INITIAL ENDPOINT; RECORDED TRAINING FINAL ENDPOINT
Test 2B,C,M1-X,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,FIXED_ARRAY_RECONSTRUCTED,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION
Test 2B,C,M1-Y,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,10,FIXED_ARRAY_RECONSTRUCTED,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION
Test 2B,C,M2-X-independent,10,10,CHECKPOINT_HISTORY,10,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,10,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,C,warm M2-X,9,9,CHECKPOINT_HISTORY,9,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,9,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,C,H1,9,9,CHECKPOINT_HISTORY,9,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,9,FIXED_MAP_RECONSTRUCTED,POST-HOC FIXED-MAP CHECKPOINT EVALUATION
Test 2B,C,H2,5,5,CHECKPOINT_HISTORY,5,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,2,ENDPOINTS_ONLY_RECURSIVE_HISTORY_DEFERRED,EXISTING DIAGNOSTIC INITIAL ENDPOINT; RECORDED TRAINING FINAL ENDPOINT
Test 2B,C,H5,5,5,CHECKPOINT_HISTORY,5,CHECKPOINT_HISTORY,1,FINAL_ONLY_DIAGNOSTIC,0,NOT_AVAILABLE,2,ENDPOINTS_ONLY_RECURSIVE_HISTORY_DEFERRED,EXISTING DIAGNOSTIC INITIAL ENDPOINT; RECORDED TRAINING FINAL ENDPOINT
