physical_case,run_id,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
Test 2A,t2a-a-m1x-accepted,A,M1-X,M1-X,25000,J_M1_X,X_n*,TRAINING SUPPORT,0.005269878839867798,RECORDED SPARSE TRAINING CHECKPOINT,True,767d990adef88749291377a872212b1e6342ebd27212b1bdc5de4fee9a85791f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/operator-seed0-m20-200k/parameters_iter_025000.npz
Test 2A,t2a-a-m1x-accepted,A,M1-X,M1-X,50000,J_M1_X,X_n*,TRAINING SUPPORT,0.0029222778064473217,RECORDED SPARSE TRAINING CHECKPOINT,True,5fd4ab6fdb49ac1a81489d31d36f5c1e0952eeac4a352dd02d5347f5ce400abf,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/operator-seed0-m20-200k/parameters_iter_050000.npz
Test 2A,t2a-a-m1x-accepted,A,M1-X,M1-X,75000,J_M1_X,X_n*,TRAINING SUPPORT,0.002520066835325086,RECORDED SPARSE TRAINING CHECKPOINT,True,273e2e6db668b36184d6273e8478f2628086e5de56a7750b8cfca482b73c1edf,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/operator-seed0-m20-200k/parameters_iter_075000.npz
Test 2A,t2a-a-m1x-accepted,A,M1-X,M1-X,100000,J_M1_X,X_n*,TRAINING SUPPORT,0.001867497521111265,RECORDED SPARSE TRAINING CHECKPOINT,True,5e2df4946d662fef04cd5d067c10ce497273118a3bd61f233dd9c2ab305f5627,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/operator-seed0-m20-200k/parameters_iter_100000.npz
Test 2A,t2a-a-m1x-accepted,A,M1-X,M1-X,150000,J_M1_X,X_n*,TRAINING SUPPORT,0.0004685075428948917,RECORDED SPARSE TRAINING CHECKPOINT,True,bc2e571d2239c69641e2783f5a5215dbe3a42082d88def453e0f1f1c403aafd5,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/operator-seed0-m20-200k/parameters_iter_150000.npz
Test 2A,t2a-a-m1x-accepted,A,M1-X,M1-X,200000,J_M1_X,X_n*,TRAINING SUPPORT,0.000373006108792648,RECORDED SPARSE TRAINING CHECKPOINT,True,f86ee79be3086028f21de10b947c0089147234f494c066f8bbbb2fffb3f8bef8,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/operator-seed0-m20-200k/parameters_iter_200000.npz
Test 2A,t2a-a-m2x-independent-accepted,A,M2-X-independent,M2-X,25000,J_M2_X,X_n*,TRAINING SUPPORT,0.007203253918958829,RECORDED SPARSE TRAINING CHECKPOINT,True,1e972460666679b79a7c87069e4aa1f6939384999b43ead0a3c8d8e439ed87b7,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/discrete-seed0-m20-200k/parameters_iter_25000.npz
Test 2A,t2a-a-m2x-independent-accepted,A,M2-X-independent,M2-X,50000,J_M2_X,X_n*,TRAINING SUPPORT,0.004871075570112521,RECORDED SPARSE TRAINING CHECKPOINT,True,89149e88c3a45a15bc4e95d7aedaa6a9634dc5f52d6fab6dd3645943abfa1695,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/discrete-seed0-m20-200k/parameters_iter_50000.npz
Test 2A,t2a-a-m2x-independent-accepted,A,M2-X-independent,M2-X,75000,J_M2_X,X_n*,TRAINING SUPPORT,0.003562832442958507,RECORDED SPARSE TRAINING CHECKPOINT,True,64c3ce9481693c1490a1cbe5ed1fdece51ca23b334d254a4a188b4d155e91041,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/discrete-seed0-m20-200k/parameters_iter_75000.npz
Test 2A,t2a-a-m2x-independent-accepted,A,M2-X-independent,M2-X,100000,J_M2_X,X_n*,TRAINING SUPPORT,0.003212445850095918,RECORDED SPARSE TRAINING CHECKPOINT,True,ff8ae9e1fc169696cff28624681265ebf5a4088022124c23e7920fef39c1767d,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/discrete-seed0-m20-200k/parameters_iter_100000.npz
