run_id,physical_case,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
t2b-a-m1x,Test 2B,A,M1-X,M1-X,0,J_M1_X,X,TRAINING TRUTH SUPPORT,1.1366538776201334,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,6d4ac7bafe775b90a70e2a199ef3305308c3d02333f7daeac1c870b6f18e0975,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000000000_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,1,J_M1_X,X,TRAINING TRUTH SUPPORT,0.9328884491403122,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,a7a536b3976f64801487bd8feaadc01feec3092a5910d0c8937ae48cbdb0913d,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000000001_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,5,J_M1_X,X,TRAINING TRUTH SUPPORT,0.401929776428572,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,779129058c0257d5ccb6e6261dd14bde7ab1ef793ebde427f4c4c55603d65668,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000000005_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,10,J_M1_X,X,TRAINING TRUTH SUPPORT,0.19769297023154875,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,73ece265e51904f6662c8cdfa710831d94ae38d891309a55725cfe93a325acfc,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000000010_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,20,J_M1_X,X,TRAINING TRUTH SUPPORT,0.088961910908395,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,e163adcc5ccfd96bac75a2defcfecab8dd365039e8a6e27d397f83e72fc47f22,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000000020_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,100,J_M1_X,X,TRAINING TRUTH SUPPORT,0.003535908682146241,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,f23a77fdf271fa4d1173965aa97c420b4b087cef6a9a34cf4a4c357e51dc25b6,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000000100_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,500,J_M1_X,X,TRAINING TRUTH SUPPORT,0.00012941919689497765,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,69302d4b361a04f6d8531e844e128b551e6a941533ab8e9fea0375cf93bb1109,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000000500_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,1000,J_M1_X,X,TRAINING TRUTH SUPPORT,0.00011959491575286309,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,3a18b2ae4d4ad45a05588e4c32c642e8f3880296b55509a0b10acfd8baaffd8d,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000001000_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,5000,J_M1_X,X,TRAINING TRUTH SUPPORT,6.915451524415331e-05,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,b921911072ce1787f8694cc72fd928c0584010fa6ca7ae3ff187b817bcbdd263,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000005000_parameters.npz
t2b-a-m1x,Test 2B,A,M1-X,M1-X,10000,J_M1_X,X,TRAINING TRUTH SUPPORT,2.9897337575707054e-05,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,471f3ac8a9b84f68bbe14bdc7dee62e3a025ac5cf61503db6644d5a1fa1bb506,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz
