run_id,physical_case,representation,campaign_role,trained_objective,fitted_column,J_M1_X,J_M1_Y,J_M2_X,J_H1,J_H2,J_H5,source_artifacts,interpretation,model_label,J_M1_X_role,J_M1_Y_role,J_M2_X_role,J_H1_role,J_H2_role,J_H5_role
t2a-a-m1x-accepted,Test 2A,A,accepted core,M1-X,J_M1_X,0.000373006108792648,NOT_DEFINED,0.0008346864309047664,0.0007048714201228114,0.001120554401295603,0.0022506331541617204,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/operator-seed0-m20-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/postprocess/cross-objectives/m1_200k_initial.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,M1-X,FITTED,NOT_DEFINED,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC
t2a-a-m2x-independent-accepted,Test 2A,A,accepted core,M2-X,J_M2_X,0.002489117530253537,NOT_DEFINED,0.001721966994676836,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/discrete-seed0-m20-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/comparison/cross_objectives.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,M2-X-independent,POST_HOC_DIAGNOSTIC,NOT_DEFINED,FITTED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
t2a-a-m2x-warm,Test 2A,A,accepted warm-start branch,M2-X,J_M2_X,0.0006177669316782416,NOT_DEFINED,0.0005167359629570338,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/m1-to-m2-finetune/operator-200k-to-discrete-m20-50k/fit_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,warm M2-X,POST_HOC_DIAGNOSTIC,NOT_DEFINED,FITTED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
t2a-a-h1,Test 2A,A,accepted horizon ladder,H1,J_H1,0.0005960029451735024,NOT_DEFINED,0.0005628142819567373,0.00045108062971305733,0.0007339234635750395,0.0015110999501957436,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/h1-from-m1-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/postprocess/cross-objectives/h1_final.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,H1,POST_HOC_DIAGNOSTIC,NOT_DEFINED,POST_HOC_DIAGNOSTIC,FITTED,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC
t2a-a-h2,Test 2A,A,accepted horizon ladder,H2,J_H2,0.0006021622844867796,NOT_DEFINED,0.0005656311359179476,0.0004524129543487752,0.0007314762388426759,0.0014982479662056928,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/h2-from-h1/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/postprocess/cross-objectives/h2_final.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,H2,POST_HOC_DIAGNOSTIC,NOT_DEFINED,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,FITTED,POST_HOC_DIAGNOSTIC
t2a-a-h5,Test 2A,A,accepted horizon ladder,H5,J_H5,0.0006148733782046905,NOT_DEFINED,0.000579287916931123,0.0004606034021655412,0.0007356325443761752,0.0014847990297685324,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/h5-from-h2/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/postprocess/cross-objectives/h5_final.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,H5,POST_HOC_DIAGNOSTIC,NOT_DEFINED,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,FITTED
t2a-c-m1x,Test 2A,C,accepted core,M1-X,J_M1_X,0.0005517974380792215,NOT_DEFINED,0.000514694288398967,0.0005169328070913088,0.0008572763965602125,0.001878851742228847,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/m1-seed0-m20-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,M1-X,FITTED,NOT_DEFINED,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC
t2a-c-m2x-independent,Test 2A,C,accepted core,M2-X,J_M2_X,0.5115121109473573,NOT_DEFINED,0.0005873863838421324,0.0006590781761457414,0.028676935487025216,0.5887682923351883,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/m2x-seed0-m20-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,M2-X-independent,POST_HOC_DIAGNOSTIC,NOT_DEFINED,FITTED,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC
t2a-c-m2x-warm,Test 2A,C,accepted core,M2-X,J_M2_X,0.0018576269386874414,NOT_DEFINED,0.00043850961099866574,0.00046763853861099146,0.0010176331604439524,0.004550763143650334,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/m1-to-m2x-m20-50k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,warm M2-X,POST_HOC_DIAGNOSTIC,NOT_DEFINED,FITTED,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC
t2a-c-h1,Test 2A,C,accepted core,H1,J_H1,0.0014428738537354345,NOT_DEFINED,0.0005069439811913891,0.0003984244402958454,0.0007660054050077655,0.0027106934681602945,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/h1-from-m1/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.,H1,POST_HOC_DIAGNOSTIC,NOT_DEFINED,POST_HOC_DIAGNOSTIC,FITTED,POST_HOC_DIAGNOSTIC,POST_HOC_DIAGNOSTIC
