physical_case,representation,model_label,state,regime,quantity,physical_RMS_error,normalized_RMS_error,relative_RMS_error,target_RMS,sample_count,source_path
Test 2B,A,M1-Y,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,A,6.987727296130355e-09,0.07719319080233687,0.1078319225075885,6.480202831994027e-08,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,H1,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,A,4.147908317969876e-09,0.04582180509490732,0.06420629048556649,6.460283387501294e-08,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json
Test 2B,A,H2,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,A,4.145927001771347e-09,0.04579991756082489,0.06417583244503229,6.46026213266872e-08,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json
Test 2B,A,H5,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,A,4.123532017779791e-09,0.04555252091825229,0.0638310089081082,6.460076518163878e-08,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json
Test 2B,B,M1-Y,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,A,3.3889495018464307e-09,0.0374376123207307,0.052494633232635445,6.455801847072533e-08,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_B_matched.json
Test 2B,B,M1-Y,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,R_all,1.3513336280343766e-13,0.00678964160635614,0.0291685859715679,4.632839004782714e-12,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_B_matched.json
Test 2B,B,M1-Y,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,R_truth_active,5.589950310303927e-13,0.028086150168193293,0.024901502039710317,2.2448245496957002e-11,453004,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_B_matched.json
Test 2B,B,H1,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,A,3.2448836707003756e-09,0.035846121880353445,0.05027308878538354,6.454514232361623e-08,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,B,H1,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,R_all,2.6974464020653524e-12,0.1355305155028132,0.5566020136604211,4.846274961037143e-12,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,B,H1,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,R_truth_active,1.3371340168493832e-11,0.671829707019156,0.5544785492095208,2.4115162232256534e-11,429032,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,B,H2,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,A,3.233456551457888e-09,0.03571988687451759,0.050096390474603805,6.45447011416337e-08,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,B,H2,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,R_all,2.700919302947545e-12,0.13570500795852738,0.5565654984957746,4.852832793709455e-12,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,B,H2,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,R_truth_active,1.3384142105894772e-11,0.6724729276496217,0.5544477004716467,2.413959349909723e-11,429374,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,B,H5,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,A,3.186327793812023e-09,0.03519925705783184,0.04936795799636647,6.454242636583307e-08,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,B,H5,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,R_all,2.6786290526947647e-12,0.134585056472139,0.5567560398987296,4.811136046556389e-12,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,B,H5,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,R_truth_active,1.3294137920727178e-11,0.6679507567535347,0.5546016613466513,2.3970606017383953e-11,428020,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json
Test 2B,C,M1-Y,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,S_source,0.0002690411283814549,0.04032706663172894,0.056539064326286644,0.004758499837012158,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,Qv_source,2.7122068393845915e-06,0.03986573163390065,0.05589226674598215,4.8525618968201184e-05,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,Qc_source,2.6773597115636403e-06,0.03935352652649591,0.05517413055564572,4.852563483285698e-05,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,Qr_source,3.566919860598237e-10,0.02365880865720302,0.12271569070362608,2.9066534525016853e-09,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,H1,model-generated pre-moist state Yhat=P(Xhat),ALL deployed calls,S_source,0.0009774198593696022,0.14650724977664817,0.20173068151362974,0.004845172048375614,10485760,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json
