physical_case,run_id,representation,model_label,maximum_absolute_total_water_drift,relative_maximum_total_water_drift,final_total_water_drift,final_mixed_state_error,maximum_mixed_state_error,minimum_Qv_coefficient,minimum_Qc_coefficient,minimum_Qr_coefficient,minimum_moisture_coefficient,final_Qc_mass,final_Qc_mass_error,final_Qr_mass,final_Qr_mass_error,rain_onset_time_s,rain_onset_error_s,pre_truth_onset_false_positive_count,pre_truth_onset_false_positive_fraction,false_negative_rate_given_truth_active,time_integrated_rain_source_mass,time_integrated_rain_source_mass_error,water_source_identity_status,water_source_defect_RMS,water_source_defect_maximum_absolute,thermodynamic_source_identity_status,S_minus_beta2_Qv_source_defect_RMS,S_minus_beta2_Qv_source_defect_maximum_absolute,all_state_coefficients_finite,source_path,quantity_kind
Test 2B,t2b-a-m1x,A,M1-X,0.65625,1.7742780285355334e-14,-0.515625,8.330283984278235e-06,9.880422827504902e-06,0.5521409051511114,-0.0019464170424938441,-1.7462999002521973e-06,-0.0019464170424938441,1552334261161.7751,822944808.5439453,237104312.9454319,6371305.965028882,5100.0,0.0,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,237104312.94543236,6371305.965029895,STRUCTURALLY ENFORCED,0.0,1.3210074382471852e-21,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-a-m2x-independent,A,M2-X-independent,0.671875,1.816522743500665e-14,-0.515625,1.0340615093646372e-05,1.2164368318992438e-05,0.5542615174416595,-0.00248604220544647,-1.7257397605186445e-06,-0.00248604220544647,1549745957270.4192,-1765359082.8120117,232933955.24847478,2200948.2680717707,5100.0,0.0,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,232933955.24847507,2200948.268072605,STRUCTURALLY ENFORCED,0.0,1.6618058506190326e-21,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-a-m2x-warm,A,warm M2-X,0.703125,1.9010121734309286e-14,-0.390625,8.025150749131838e-06,1.0075467833170303e-05,0.5528614996536042,-0.001628696342055185,-1.7734297482488686e-06,-0.001628696342055185,1552039110948.2349,527794595.0036621,227634371.15606946,-3098635.8243335485,5100.0,0.0,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,227634371.15606898,-3098635.824333489,STRUCTURALLY ENFORCED,0.0,1.313562812734208e-21,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-a-h1,A,H1,0.6875,1.8587674584657967e-14,-0.4296875,4.934450636716652e-06,4.934450636716652e-06,0.5507288328222814,-0.0018749076541776204,-1.782493792739096e-06,-0.0018749076541776204,1553517157548.008,2005841194.7768555,254850599.1680839,24117592.1876809,5100.0,0.0,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,254850599.16808414,24117592.187681675,STRUCTURALLY ENFORCED,0.0,1.3946265127644047e-21,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-a-h2,A,H2,0.65625,1.7742780285355334e-14,-0.5078125,4.934722086432549e-06,4.934722086432549e-06,0.5507266820913157,-0.001904232398102531,-1.7834499444323197e-06,-0.001904232398102531,1553536045611.6477,2024729258.416504,254811400.88568193,24078393.90527892,5100.0,0.0,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,254811400.8856823,24078393.905279845,STRUCTURALLY ENFORCED,0.0,1.3036366453835716e-21,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-a-h5,A,H5,0.6796875,1.837645100983231e-14,-0.484375,4.967013464965742e-06,4.967013464965742e-06,0.5507155611856769,-0.0018746062027734092,-1.7820744485338723e-06,-0.0018746062027734092,1553550169838.142,2038853484.9108887,254195731.19967157,23462724.21926856,5100.0,0.0,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,254195731.19967225,23462724.219269782,STRUCTURALLY ENFORCED,0.0,1.3499587596865412e-21,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-a-m1y,A,M1-Y,0.7421875,2.006623960843758e-14,-0.5,9.057833617586438e-06,1.1401096147439624e-05,0.5561679522927168,-0.0004517758371274292,-1.797193216219642e-06,-0.0004517758371274292,1548741767468.5337,-2769548884.69751,232575981.75040227,1842974.7699992657,5100.0,0.0,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,NOT_STORED_ANALYTICAL_R_ON_MODEL_STATE,232575981.75040254,1842974.7700000703,STRUCTURALLY ENFORCED,0.0,1.2813027688446399e-21,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-b-m1x,B,M1-X,0.6796875,1.837645100983231e-14,-0.5546875,0.0070248254607707455,0.0070248254607707455,-3.529693640003465,-0.621533076748172,-2.1034643505000602e-06,-3.529693640003465,5959166390792.631,4407655074439.399,683354014.4812819,452621007.5008789,0.0,-5100.0,726110,0.21724626129748775,3.8730348749185784e-05,683354014.4812833,452621007.50088084,STRUCTURALLY ENFORCED,0.0,2.798116265792315e-19,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-b-m2x-independent,B,M2-X-independent,0.7265625,1.9643792458786263e-14,-0.4921875,1.0321428688884731e-05,1.5666261384673602e-05,0.5524616725274956,-0.0024644994617648484,-0.00016659425144784445,-0.0024644994617648484,1554099181687.5015,2587865334.2702637,-1757136961.3254414,-1987869968.3058443,0.0,-5100.0,373508,0.11175058402267157,0.9997101409267208,-1757136961.3254445,-1987869968.305847,STRUCTURALLY ENFORCED,0.0,1.7825323440332641e-19,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-b-m2x-warm,B,warm M2-X,0.703125,1.9010121734309286e-14,-0.4609375,8.968337900553779e-06,1.2424451001858404e-05,0.5530651022219877,-0.0027160024307283357,-1.6360206585836835e-06,-0.0027160024307283357,1551471392204.546,-39924148.685302734,142571986.7710874,-88161020.2093156,0.0,-5100.0,2741202,0.8201455508961397,0.0013175230566534915,142571986.77108735,-88161020.20931512,STRUCTURALLY ENFORCED,0.0,1.808831000645739e-19,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
