run_id,physical_case,representation,model_label,trained_objective,J_M1_Y,fitted,evaluation_kind,evaluation_state,state_indices,checkpoint_parameter_pytree_sha256,checkpoint_path
t2b-a-m1x,Test 2B,A,M1-X,M1-X,0.00023105356375001702,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,471f3ac8a9b84f68bbe14bdc7dee62e3a025ac5cf61503db6644d5a1fa1bb506,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz
t2b-a-m2x-independent,Test 2B,A,M2-X-independent,M2-X,0.0002597421064953403,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,aca1a5810b1f74516bdb26ae902780050929c3e06238795a6301371491dc3652,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m2x-seed0-m20-10k/checkpoint_000010000_parameters.npz
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,0.00021248918344471716,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,0cf7dc9036c84c6ac3a78cf7e16cfa56fb7eb985ba7f460e3dccb139bb826d3e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000005000_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,4.570659245437805e-05,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,73f39ca1e345256157890f7c918ac41a43684262e4ad11c9465bd35706b16f83,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz
t2b-a-h2,Test 2B,A,H2,H2,4.5694734353326805e-05,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,3e9b414ee32f1d702a7998d6a3508c3bbf7097a2c735dbafc3550a4ecf74c5df,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz
t2b-a-h5,Test 2B,A,H5,H5,4.578429353000684e-05,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,f2d56a8947f66761371fbef8aa52b3aa545f3e2ca9822fdb27a7e3ef796d20a9,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h5-from-h2-m20-20/checkpoint_000000020_parameters.npz
t2b-b-m1x,Test 2B,B,M1-X,M1-X,0.00028540368355305025,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,cfc9d3da6a8d07d74ae17e3d9a5beabe434e63b8005e95df4a1925c3a63c609c,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz
t2b-b-m2x-independent,Test 2B,B,M2-X-independent,M2-X,0.14745097304347274,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,8292c556c31e15a303cc9010d9174149ab46cf31ce6ef385ffcb22d406b9b74a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m2x-seed0-m20-10k/checkpoint_000010000_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,0.0016319225773795158,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,5e1bca9a6345f9bcd0360aa3e7e3feeef2cb2b2ac960e00106a7779e8d7892db,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000005000_parameters.npz
t2b-b-h1,Test 2B,B,H1,H1,0.002375372933154954,False,POST-HOC DIAGNOSTIC OBJECTIVE,Y_n*=P(X_n*),0..80,9ebda59a2f74f1522e595b854a06f7c1af01ef9c85a734dc0aab1996c7ac5e03,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz
