physical_case,run_id,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
Test 2B,t2b-a-h2,A,H2,H2,0,J_H2,recursive model state,TRAINING TRUTH WINDOWS,5.522341364243512e-05,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-a-h2,A,H2,H2,20,J_H2,recursive model state,TRAINING TRUTH WINDOWS,5.518718280643356e-05,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-a-h5,A,H5,H5,0,J_H5,recursive model state,TRAINING TRUTH WINDOWS,0.0001104468278986,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-a-h5,A,H5,H5,20,J_H5,recursive model state,TRAINING TRUTH WINDOWS,0.0001101988974667,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-b-h2,B,H2,H2,0,J_H2,recursive model state,TRAINING TRUTH WINDOWS,3.99499252746403e-05,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-b-h2,B,H2,H2,20,J_H2,recursive model state,TRAINING TRUTH WINDOWS,3.990593206801135e-05,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-b-h5,B,H5,H5,0,J_H5,recursive model state,TRAINING TRUTH WINDOWS,7.420138285232397e-05,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-b-h5,B,H5,H5,20,J_H5,recursive model state,TRAINING TRUTH WINDOWS,7.397756301974212e-05,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-c-h2,C,H2,H2,0,J_H2,recursive model state,TRAINING TRUTH WINDOWS,0.0002334339256114,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-c-h2,C,H2,H2,20,J_H2,recursive model state,TRAINING TRUTH WINDOWS,0.0001400394899832,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-c-h5,C,H5,H5,0,J_H5,recursive model state,TRAINING TRUTH WINDOWS,0.0015276449175796,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-c-h5,C,H5,H5,20,J_H5,recursive model state,TRAINING TRUTH WINDOWS,0.0007034132450114,RECORDED TRAINING FINAL ENDPOINT,True,,
