representation,model,states,A_rel_RMS,R_all_rel_RMS,R_active_rel_RMS,R_false_positive_rate,R_false_negative_rate,S_source_rel_RMS,Qv_source_rel_RMS,Qc_source_rel_RMS,Qr_source_rel_RMS,source_vector_rel_RMS
A,M1-Y,training,0.0049391392153953,,,,,,,,,
A,M1-Y,evaluation,2.236155470690119,,,,,,,,,
A,H1,training,0.0067606650896474,,,,,,,,,
A,H1,evaluation,1.3252147038079751,,,,,,,,,
A,H2,training,0.0067597880405621,,,,,,,,,
A,H2,evaluation,1.3265142716692184,,,,,,,,,
A,H5,training,0.0067664092050368,,,,,,,,,
A,H5,evaluation,1.332141309515428,,,,,,,,,
B,M1-Y,training,0.0053411537429543,0.0241041639884868,0.0162778124071646,0.2797753832835957,0.0,,,,,
B,M1-Y,evaluation,2.9270513111615144,0.0327439258437576,0.0261075739620854,0.2102894174016093,0.0,,,,,
B,H1,training,0.0059196219792106,0.562805481717456,0.5423719303797272,0.8260177233068319,0.0,,,,,
B,H1,evaluation,0.7855769842666946,0.5576400685342907,0.5565589123991848,0.7949861933166265,0.0,,,,,
B,H2,training,0.0059171615420012,0.5628105452495908,0.5423729920925737,0.8260070923601461,0.0,,,,,
B,H2,evaluation,0.7803471627891748,0.5576452335606348,0.5565642401852159,0.7949672518482344,0.0,,,,,
B,H5,training,0.0059267069060061,0.5627837403268545,0.5423337690483323,0.8260044346234746,0.0,,,,,
B,H5,evaluation,0.7712145436479982,0.5576173159360609,0.55653737146695,0.7949433691272183,0.0,,,,,
C,M1-Y,training,,,,,,0.0051413446204448,0.0051489271901994,0.0051477785639168,0.0685738718981806,0.0061691653141964
C,M1-Y,evaluation,,,,,,1.5369506262504609,1.5147578233685508,1.4998767382811753,0.0821966990635045,0.2682311452298295
C,H1,training,,,,,,0.0063018756711385,0.0321910648025277,0.0300094005655026,1.6645912723116527,0.0867042704310515
C,H1,evaluation,,,,,,2.030679370956442,2.4988350418761547,2.614229791209161,0.8078303573362438,0.8926983979150293
C,H2,training,,,,,,0.009132247078231,0.03571409377171,0.0320221719253552,1.6636249784729038,0.0874371499748737
C,H2,evaluation,,,,,,1.960361814453632,2.635240721658734,2.6134780129026405,0.8059926576275489,0.8932887789563148
C,H5,training,,,,,,0.0234997957869868,0.0461292496952932,0.0542196207913482,1.669178641156122,0.0936319707661743
C,H5,evaluation,,,,,,2.058851894918257,2.934085654107641,2.9110138152360334,0.8034498186553808,0.9105243739511134
