run_id,physical_case,representation,model_label,trained_objective,checkpoint_iteration,checkpoint_parameter_pytree_sha256,checkpoint_npz_sha256,checkpoint_path,evaluation_state,support,state_first,state_last,support_use,quantity,metric,value,metric_provenance,nominal_state_for_model
t2b-a-m1x,Test 2B,A,M1-X,M1-X,10000,471f3ac8a9b84f68bbe14bdc7dee62e3a025ac5cf61503db6644d5a1fa1bb506,e4f8d600fdc9833ab9c0c159a0f7601ec7b162f32c0369d44a82988dbd15908f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,relative_RMS_error,0.0054678457893129,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m1x,Test 2B,A,M1-X,M1-X,10000,471f3ac8a9b84f68bbe14bdc7dee62e3a025ac5cf61503db6644d5a1fa1bb506,e4f8d600fdc9833ab9c0c159a0f7601ec7b162f32c0369d44a82988dbd15908f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,physical_RMS_error,4.949635437515386e-10,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m1x,Test 2B,A,M1-X,M1-X,10000,471f3ac8a9b84f68bbe14bdc7dee62e3a025ac5cf61503db6644d5a1fa1bb506,e4f8d600fdc9833ab9c0c159a0f7601ec7b162f32c0369d44a82988dbd15908f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,signed_mass_weighted_bias,-8.629942486517959e-13,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m1x,Test 2B,A,M1-X,M1-X,10000,471f3ac8a9b84f68bbe14bdc7dee62e3a025ac5cf61503db6644d5a1fa1bb506,e4f8d600fdc9833ab9c0c159a0f7601ec7b162f32c0369d44a82988dbd15908f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,correlation,0.9999848676682668,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m2x-independent,Test 2B,A,M2-X-independent,M2-X,10000,aca1a5810b1f74516bdb26ae902780050929c3e06238795a6301371491dc3652,b644f72dad39f78bbe42174c03ac1b7f16f8789275eae4672a7636e014eecfa4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m2x-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,relative_RMS_error,0.0055088062621429,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m2x-independent,Test 2B,A,M2-X-independent,M2-X,10000,aca1a5810b1f74516bdb26ae902780050929c3e06238795a6301371491dc3652,b644f72dad39f78bbe42174c03ac1b7f16f8789275eae4672a7636e014eecfa4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m2x-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,physical_RMS_error,4.986713916987675e-10,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m2x-independent,Test 2B,A,M2-X-independent,M2-X,10000,aca1a5810b1f74516bdb26ae902780050929c3e06238795a6301371491dc3652,b644f72dad39f78bbe42174c03ac1b7f16f8789275eae4672a7636e014eecfa4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m2x-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,signed_mass_weighted_bias,7.295906702750996e-13,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m2x-independent,Test 2B,A,M2-X-independent,M2-X,10000,aca1a5810b1f74516bdb26ae902780050929c3e06238795a6301371491dc3652,b644f72dad39f78bbe42174c03ac1b7f16f8789275eae4672a7636e014eecfa4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m2x-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,correlation,0.9999846400898388,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,5000,0cf7dc9036c84c6ac3a78cf7e16cfa56fb7eb985ba7f460e3dccb139bb826d3e,a966a41245712e15bb2872b9a96960eb2e101890b70b8e7aca89f5105b2bea44,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000005000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,relative_RMS_error,0.0050695957961553,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,5000,0cf7dc9036c84c6ac3a78cf7e16cfa56fb7eb985ba7f460e3dccb139bb826d3e,a966a41245712e15bb2872b9a96960eb2e101890b70b8e7aca89f5105b2bea44,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000005000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,physical_RMS_error,4.5891292427401095e-10,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,5000,0cf7dc9036c84c6ac3a78cf7e16cfa56fb7eb985ba7f460e3dccb139bb826d3e,a966a41245712e15bb2872b9a96960eb2e101890b70b8e7aca89f5105b2bea44,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000005000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,signed_mass_weighted_bias,-5.239080000825135e-13,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,5000,0cf7dc9036c84c6ac3a78cf7e16cfa56fb7eb985ba7f460e3dccb139bb826d3e,a966a41245712e15bb2872b9a96960eb2e101890b70b8e7aca89f5105b2bea44,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000005000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,correlation,0.9999869916985408,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h1,Test 2B,A,H1,H1,5000,73f39ca1e345256157890f7c918ac41a43684262e4ad11c9465bd35706b16f83,a6a7667217ce26fa3b392cacc5e70f087db97622804db0cdcf123f7e532516c1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,relative_RMS_error,0.0124514212713155,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h1,Test 2B,A,H1,H1,5000,73f39ca1e345256157890f7c918ac41a43684262e4ad11c9465bd35706b16f83,a6a7667217ce26fa3b392cacc5e70f087db97622804db0cdcf123f7e532516c1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,physical_RMS_error,1.1271348598088524e-09,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h1,Test 2B,A,H1,H1,5000,73f39ca1e345256157890f7c918ac41a43684262e4ad11c9465bd35706b16f83,a6a7667217ce26fa3b392cacc5e70f087db97622804db0cdcf123f7e532516c1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,signed_mass_weighted_bias,9.255654871876961e-11,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h1,Test 2B,A,H1,H1,5000,73f39ca1e345256157890f7c918ac41a43684262e4ad11c9465bd35706b16f83,a6a7667217ce26fa3b392cacc5e70f087db97622804db0cdcf123f7e532516c1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,correlation,0.9999220866756549,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h2,Test 2B,A,H2,H2,20,3e9b414ee32f1d702a7998d6a3508c3bbf7097a2c735dbafc3550a4ecf74c5df,2158c1e48bb422d13ea077cea9617be77aad1be76a5945ec0a5201a796a04ed3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,relative_RMS_error,0.0124674774833233,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h2,Test 2B,A,H2,H2,20,3e9b414ee32f1d702a7998d6a3508c3bbf7097a2c735dbafc3550a4ecf74c5df,2158c1e48bb422d13ea077cea9617be77aad1be76a5945ec0a5201a796a04ed3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,physical_RMS_error,1.1285883096501302e-09,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h2,Test 2B,A,H2,H2,20,3e9b414ee32f1d702a7998d6a3508c3bbf7097a2c735dbafc3550a4ecf74c5df,2158c1e48bb422d13ea077cea9617be77aad1be76a5945ec0a5201a796a04ed3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,signed_mass_weighted_bias,9.188022447949943e-11,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h2,Test 2B,A,H2,H2,20,3e9b414ee32f1d702a7998d6a3508c3bbf7097a2c735dbafc3550a4ecf74c5df,2158c1e48bb422d13ea077cea9617be77aad1be76a5945ec0a5201a796a04ed3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,correlation,0.9999218652865312,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h5,Test 2B,A,H5,H5,20,f2d56a8947f66761371fbef8aa52b3aa545f3e2ca9822fdb27a7e3ef796d20a9,07b3a84734679abf8849b5afb1f30f87568482e221a2a759a143f29a0cfc5ff1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h5-from-h2-m20-20/checkpoint_000000020_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,relative_RMS_error,0.0125413154939275,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h5,Test 2B,A,H5,H5,20,f2d56a8947f66761371fbef8aa52b3aa545f3e2ca9822fdb27a7e3ef796d20a9,07b3a84734679abf8849b5afb1f30f87568482e221a2a759a143f29a0cfc5ff1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h5-from-h2-m20-20/checkpoint_000000020_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,physical_RMS_error,1.1352723173563508e-09,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h5,Test 2B,A,H5,H5,20,f2d56a8947f66761371fbef8aa52b3aa545f3e2ca9822fdb27a7e3ef796d20a9,07b3a84734679abf8849b5afb1f30f87568482e221a2a759a143f29a0cfc5ff1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h5-from-h2-m20-20/checkpoint_000000020_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,signed_mass_weighted_bias,9.127621006476476e-11,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-h5,Test 2B,A,H5,H5,20,f2d56a8947f66761371fbef8aa52b3aa545f3e2ca9822fdb27a7e3ef796d20a9,07b3a84734679abf8849b5afb1f30f87568482e221a2a759a143f29a0cfc5ff1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h5-from-h2-m20-20/checkpoint_000000020_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,correlation,0.999920929804294,POST-HOC FINAL CHECKPOINT EVALUATION,True
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,10000,ed838229022ef2ac38a29bb88c8e98f2c173b89e0573088036ad301f76f4e158,a7f98ffe462a89a00d9d2dedd4efb4531cd0feea6e1d64de0b5359bae5e31db4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,relative_RMS_error,0.0099475325629481,POST-HOC FINAL CHECKPOINT EVALUATION,False
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,10000,ed838229022ef2ac38a29bb88c8e98f2c173b89e0573088036ad301f76f4e158,a7f98ffe462a89a00d9d2dedd4efb4531cd0feea6e1d64de0b5359bae5e31db4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,physical_RMS_error,9.004763774728462e-10,POST-HOC FINAL CHECKPOINT EVALUATION,False
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,10000,ed838229022ef2ac38a29bb88c8e98f2c173b89e0573088036ad301f76f4e158,a7f98ffe462a89a00d9d2dedd4efb4531cd0feea6e1d64de0b5359bae5e31db4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000010000_parameters.npz,X,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,A,signed_mass_weighted_bias,4.5303906907812687e-11,POST-HOC FINAL CHECKPOINT EVALUATION,False
