run_id,physical_case,representation,campaign_role,trained_objective,fitted_column,J_M1_X,J_M1_Y,J_M2_X,J_H1,J_H2,J_H5,source_artifacts,interpretation
t2a-a-m1x-canonical-100,Test 2A,A,historical precursor local-operator fit,M1-X,J_M1_X,0.6701423514283571,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/operator_fit_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m1x-lbfgs-m10-500,Test 2A,A,exploratory optimizer study,M1-X,J_M1_X,0.26242798370006554,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/optimizer-study/rol_lbfgs_m10_i500.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m1x-lbfgs-m20-500,Test 2A,A,exploratory optimizer study,M1-X,J_M1_X,0.25394245655540487,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/optimizer-study/rol_lbfgs_m20_i500.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m1x-trust-tcg-100,Test 2A,A,exploratory optimizer study,M1-X,J_M1_X,0.4693190768945418,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/optimizer-study/rol_trust_region_tcg_exact_hvp_i100.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m1x-continuation-to-2000,Test 2A,A,exploratory optimizer continuation,M1-X,J_M1_X,0.04196877146795583,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/optimizer-study/continuation-m20/continuation_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m1x-continuation-to-7000,Test 2A,A,exploratory optimizer continuation,M1-X,J_M1_X,0.009469597429489865,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/optimizer-study/continuation-m20-plateau/continuation_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m1x-continuation-to-52000,Test 2A,A,exploratory optimizer continuation,M1-X,J_M1_X,0.004285912836972889,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.00794193542678781,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/optimizer-study/continuation-m20-plus45000/continuation_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/comparison/cross_objectives.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m1x-accepted,Test 2A,A,accepted core,M1-X,J_M1_X,0.000373006108792648,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0008346864309047664,0.0007048714201228114,0.001120554401295603,0.0022506331541617204,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/operator-seed0-m20-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/postprocess/cross-objectives/m1_200k_initial.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m2x-independent-accepted,Test 2A,A,accepted core,M2-X,J_M2_X,0.002489117530253537,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.001721966994676836,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/discrete-seed0-m20-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/comparison/cross_objectives.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m2x-independent-50k-aux,Test 2A,A,auxiliary shorter fit,M2-X,J_M2_X,0.0020819762080123453,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0017427829635521567,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/deployed-discrete-offline/direct-fit-50k-rerun/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fair-longfit/comparison/cross_objectives.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
