physical_case,representation,trained_model,evaluation_state,regime,quantity,state_indices,sample_count,physical_RMS_error,normalized_RMS_error,relative_RMS_error,maximum_absolute_error,signed_mass_weighted_bias,correlation,source
Test 2B,A,M1-X,X,HELDOUT_MATURE_RAIN,A,"[81,160]",5242880,2.9071415076049104e-09,0.03211509544887551,2.233067604462163,1.005310753445178e-07,2.4471343030258626e-11,0.27584602448311135,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-X,X,ONSET,A,"[51,60]",655360,5.971923310250333e-10,0.006597163798884424,0.5829643849012753,4.519817955107074e-08,1.3815120697952452e-11,0.8127916114711403,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-X,X,PRE_RAIN,A,"[0,50]",3342336,3.9819066953990874e-10,0.004398799069695555,0.0034904997831289343,4.314605317184055e-08,-1.0401671746315135e-11,0.9999937927293404,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-X,X,TRAINING_OVERALL,A,,5308416,4.949635437515388e-10,0.005467845789312924,0.005467845789312924,4.519817955107074e-08,-8.629942486617224e-13,0.9999848676682667,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-X,X,TRAINING_SUSTAINED_RAIN,A,"[61,80]",1310720,6.399753356184042e-10,0.007069786226279696,0.5986070217955286,4.189455479803328e-08,1.612157589704738e-11,0.8013379894807992,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-Y,X,HELDOUT_MATURE_RAIN,A,"[81,160]",5242880,6.400112920569194e-09,0.070701834358589,4.916129741340785,8.931781307477681e-08,6.34469439348974e-10,0.14258744007926044,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-Y,X,ONSET,A,"[51,60]",655360,7.341735883176779e-10,0.008110391187765322,0.7166821007057378,2.1369534184678837e-08,7.42332113890783e-12,0.7539299281303591,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-Y,X,PRE_RAIN,A,"[0,50]",3342336,1.0072974023046805e-09,0.011127580867940178,0.008829868787114906,2.1743054924227598e-08,9.132914324182131e-11,0.9999605904337105,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-Y,X,TRAINING_OVERALL,A,,5308416,9.004763774728465e-10,0.009947532562948181,0.009947532562948181,2.3487226404828164e-08,4.530390690780665e-11,0.9999500480893347,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
Test 2B,A,M1-Y,X,TRAINING_SUSTAINED_RAIN,A,"[61,80]",1310720,6.53540922525363e-10,0.007219644813210308,0.6112957226334076,2.3487226404828164e-08,-5.3120152859481334e-11,0.8064512689129637,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json
